Rating,Review Text,Review Date
5 stars,My experience with GetGo has been pleasant thus far. I like that they ensure cars are in good working condition for users to drive with comfort. The only problem I met was not being able to ignition a Suzuki Swift Hybrid due to 'missing …,2 months ago
5 stars,I was the pioneer batch of users to use GetGo when it was first out. Research on the other renting car apps led me to prefer using GetGo because of its easy user interface and seamless booking. Everything else was hassle free like providing …,a month ago
5 stars,Conveniently located near my house; it’s really a cost saving for me than owning a car. Use it almost every week to run errand and bring my family out for meals. Thank you GetGo.,a month ago
5 stars,GetGo Team was reassuring & ensured I will be insured of the time unused during a booking I had but unfortunately had a flat tyre.,2 months ago
5 stars,After using GetGo for couple of times,2 months ago
5 stars,"Hassle free & easy to use car sharing app with GetGo.
Their CS team are also quick to respond if you need help too.
Cars condition (and hygiene) is relatively quite a pleasant experience except for 1 vehicle which I’ve provided my feedback to the team.",a month ago
5 stars,Have always love Getgo car sharing! Love all the cars tt is available for rent! My favourite has to be Hyundai Avante! If I were to buy car,2 months ago
2 stars,Having used it for a month or two,2 months ago
4 stars,It is highly convenient to use GetGo when one needs a vehicle urgently. The app is extremely user friendly and their vehicles are reliable. However they could use a more regular wash in between rentals,a month ago
4 stars,My experience has been a mix of cool and not-so-cool. It is cool when the rented car is well taken care of. It is not cool when the car is surrounded with dents,2 months ago
5 stars,GetGo came as such a boon,a month ago
5 stars,I had the pleasure of using GetGo sharing service and it exceeded my expectations. I booked the car through their app,2 months ago
5 stars,Getgo has consistently been my go-to whenever I need a car to get around for errands or date night. End-to-end the service is solid,a month ago
5 stars,Have been using GetGo Car sharing for the past 5 months and so far it has been a great experience. It’s just that sometimes the application does not load up properly upon launching it but other than that,2 months ago
5 stars,Probably the best car sharing platform in Singapore. Good car selections,a month ago
5 stars,i really enjoy my experience with this service. some cars are not in good condition because of people that used them before. if we could be more respectful to such a good service provided for us,2 months ago
5 stars,Wonderful and easy-to-use service. Perfect to go out with friends and family. However,a month ago
5 stars,I have been using GetGo coming to 2 years. I have thought of changing to other car share scheme,a month ago
4 stars,Convenient and easy to use. Simple registration and clear instructions for using the car,a month ago
4 stars,GetGo has gave us convenience. The cars are normally good to go. Unlike some other platforms that I rented before,a month ago
5 stars,I’m happy so far with GetGo,a month ago
5 stars,Great service! The app is very easy to use,a month ago
5 stars,GetGo has provided the best flexibility and convenience to book a car for different occasions. Definitely recommend it!,a month ago
5 stars,Getgo is super easy too use and its affordable. Its my husband's and me favourite to go anywhere is we have our family members with us or if my husband just gets lazy to ride. Its super convenient and so near our house. Love it! Definitely a regular customer.,2 months ago
4 stars,Getgo service is fantastic. The app is simple and sufficient for booking and use. An area of improvement to consider is a easier link to report car operating faults (e.g. lights) and cleanliness. Cars are mostly great but there are a few …,a month ago
4 stars,I have been using GetGo for several times since it has the car model I like and it’s really convenient for me as most of the time I do not need to worry about petrol as it is usually sufficient for my usage,2 months ago
5 stars,GetGo is my preferred choice of carsharing/car rental as it is really fuss free and easy to book,a month ago
5 stars,The app is easy to use. The cars are located conveniently. The best part is the experience of driving different models of cars. The support staff are great at their work and always ready to lend a helping hand.,a month ago
5 stars,Booking experience has been enjoyable! I love the convenience of being able to book for last minute plans with the family - for impromptu makan sessions or last minute errands. …,2 months ago
5 stars,Very good. Some of the sientas in my area are pretty dated though and could be replaced with newer cars. …,a month ago
5 stars,My experience with GetGo has been great as it has given me the option of having access to a set of wheels when needed without the financial burden of owning one. …,2 months ago
4 stars,I enjoyed using Getgo so far. The app was easy to use. The number of cars around my area is sufficient and the live chat response pretty fast. The cleanliness and the technical maintenance of the vehicle however need to be improved. There were several times where we found cockroaches in the car.,2 months ago
5 stars,Having such a convenience living in Punggol where almost every estate has 2 GetGo cars ready to be driven. The user friendly app makes it all wonderful to use. Use it when you need it at the convenience of your phone. What else is there to ask for?,a month ago
4 stars,Service provided by Getgo is good. It provides a much needed highly accessible mode of private transport especially for drivers with less than 1 year of driving experience. App UI is easy to navigate and understand. Possibly the best app …,a month ago
5 stars,Almost brand new & nice car.  Fuel efficient and the get go app comes in handy and user Friendly interface.,a month ago
4 stars,Getgo is a awesome app which can get you to places conveniently anytime of the day. Even if i am hungry at wee hours or need a car urgent for my family,a month ago
5 stars,I have been a big supporter of GetGo from day one,2 months ago
5 stars,It is always convenient to book and extend the trip. Had the chance to drive different model cars,a month ago
4 stars,I like the convenience of GetGo as there are multiple pickup locations near my place. However,2 months ago
5 stars,I have been consistently using getgo to get around as my jobs demands it and I love how accessible getgo is with their wide availability of cars all around the island. Prices are very reasonable and is the most economical option for me now …,a month ago
5 stars,I have had great experiences so far with GetGo,a month ago
4 stars,Car park is conveniently close to me. Reliable and delighted to use these rental cars and at a fair charge with given allowances. Cars are relatively clean and function well. In case of need,a month ago
5 stars,"Besides some cars which look old and dirty inside,
i really enjoyed GetGo for the ease of use and cars available nearby. Will love to see in the future if it's possible that they can implement some Point A to …",a month ago
5 stars,Getgo has always been part of my daily life. It is super convenient. The help service is very efficient and super responsive. They have been always helping to clear my doubts and queries. Thank you for being the best car-sharing service in Singapore!,a month ago
1 star,Just 10mins of our booking,8 months ago
5 stars,Has been my go to car rental ever since I sold my personal car a year ago . Generally clean with an alright rental price. Good app and pretty much instant support via app. I haven't had any issues with GetGo . Makes sense to lower your excess when you book of course!,2 months ago
5 stars,It is easy and fuss free! Each time i need a car to run my errands. Getgo has my my wants and needs. …,a month ago
5 stars,My Amk area Getgo sharing is very convenient & easy to book. Their operation staffs are very efficient & professional! I have advance booking with Getgo so many times.,2 months ago
4 stars,Nice variety of cars to drive,2 months ago
4 stars,I really think getgo is awesome due to its wide range of cars to choose. Love that there is always a car down the block for you to book. Only downside,a month ago
5 stars,So far the experience has been pleasant. Customer service is one of the best as compared to other car sharing services. …,2 months ago
5 stars,GetGo offers a great car sharing platform to meet all of my needs. Pricing is very competitive and it's even cheaper than taking taxi or private hire drivers at most of the time. Highly recommended!,2 months ago
5 stars,Exceptional experience with GetGo car renting service in Singapore! Impeccable customer service,2 months ago
4 stars,Great choice as compared with traditional car rental. Convenient and easy to use most of the times. However,a month ago
5 stars,Best,a month ago
4 stars,GetGo is a very reliable carsharing platform and network! It is a good initiative to encourage carsharing in Singapore. Customer service has been excellent so far. However i hope there could be more cars available in newer estates soon. And …,a month ago
4 stars,"Enjoy the ride from getgo nowadays . its convenient and it suits my needs . the vehicle
are clean and well maintained",a month ago
5 stars,Have been using GetGo for sometime now,a month ago
4 stars,Vehicles are available at convenient locations and there is a good selection of vehicles. GetGo's system is easy to use. However,2 months ago
5 stars,GetGo is very convenient you are rent the car at the nearest multi story car park near my place. Always having alot of discount on and off. I got use to driving one of the car near my area,2 months ago
5 stars,Amazing car sharing service! Life has never been so convenient before. Having getgo cars and vans nearby me really made travelling and buying groceries much easier. Highly recommended!,a month ago
3 stars,I have been using GETGO for more than a year since I stop my monthly car rental service. It has definitely help me move around more. …,a month ago
5 stars,I absolutely love the seamless driving experience with Getgo. The convenience is top-notch,a month ago
4 stars,So far I have enjoyed driving with GetGo,a month ago
4 stars,My experience with Getgo thus far is good. It is a very convenient car sharing platform. Very direct and is available in most estates in Singapore (most importantly). There are some glitches tho at times. Probably need to work on that more. Price wise is very affordable. Most of the cars i have rented are well managed.,2 months ago
5 stars,Surely GetGo is the most reliable car sharing service in Singapore. Plenty of selection and affordable rates. Overall my family and I enjoy our experience and would recommend anyone who have not try yet.,2 months ago
5 stars,Enjoyed the nice and efficient electrical car. Highly recommended to join GetGo and start using the cars.,a month ago
4 stars,"I have been a frequent user of GetGo.

Pro",2 months ago
4 stars,Very easy to book at various places. However some cars might have some issue such as unable to lock or unlock or even to start engine. But the customer service was rather fast to rectify the issue. They also have discounts to attract driver to do more booking.,2 months ago
5 stars,The customer service of Getgo is very quick to reply at any time they’re needed. They are also very understanding and helpful,a month ago
5 stars,I have been using GetGo for almost now 9 months. This car sharing service is really great at times of High COE.  I  had god experience with the fleet of cars available for drive. I almost use 2-3 times in a week to drop my kid to school. The booking cost is cheap.,2 months ago
4 stars,cleanliness in some of the cars can be improved,2 months ago
5 stars,"1) Variety of car types - Many types of cars available to cater for choices
2) Convenience - Cars are available in many locations. 2 cars available just right below where I stay. …",2 months ago
4 stars,Good placement and availability of cars. Fleet getting old so need more maintenance and cleaning. It'll be good if the app can send a notification once another user has made a booking immediately after or 1-2 hour later following our current rental timing end.,2 months ago
5 stars,Love it when i have clean cars. Easy accessible at my in laws place. But not very accessible now at my new place. Hopefully more new cars and more accessible cars available. Also there is birthday promo code and plenty other promo codes!,a month ago
5 stars,Love the experience I have with GetGo. Every single time when I need a transport to run my errands,2 months ago
5 stars,Easy to book and rent their cars. Their electric cars are especially clean and nice to drive,a month ago
5 stars,GetGo is convenient to book and easy to use the application,a month ago
5 stars,So far the rentals had been great the only issue is that uploading of the start of and end of booking inspection photos are really slow,a month ago
5 stars,Nice carsharing experience,a month ago
4 stars,No issues at all with any of the bookings. Easy and simple to use. Now with the new cars,2 months ago
5 stars,I had sold my car since 2022 and have been making use of Getgo for my ad-hoc activities like going out with my family,2 months ago
5 stars,Ive used this GetGo for more than a year,2 months ago
4 stars,Overall,a month ago
4 stars,Good lined up of cars available in my area. Conditions of the cars are a lot better than previously. However,2 months ago
5 stars,GetGo Carsharing app has been a life-saver. For short trips,a month ago
4 stars,"GetGo has a lot of cars at close locations. Hence is easy and affordable to use GetGo.
But to keep up the maintenance of each car would be a challenge that has to be addressed well. Keep up the good work.",a month ago
5 stars,I have had a great experience with Getgo. There is generally always a car nearby for me to use when I need it and it's ideal for errands around the neighbourhood. The pricing is better that taking a cab two ways and I love the flexibility it gives me. Would definitely recommend trying it out.,2 months ago
5 stars,1) Great platform to satisfy my occasional crave to drive when I don't own a car,3 weeks ago
5 stars,What i like about getgo is the number of cars available in my estate. There's always 1 whenever i need last minute. And be rewarded whenever we fill up if the fuel is low .,a month ago
3 stars,So far,2 months ago
4 stars,Been using Getgo for about a year. Generally quite satisfied with the convenience and easy access to the cars near my house. I find that usually when I get into an unfamiliar car for the first time it can be a bit stressful to drive but …,a month ago
5 stars,Getgo has been my top go-to car rental when I needed. Not only they provided flexible timing of choice such as in 15minutes time block,2 months ago
5 stars,Post COE rise,a month ago
5 stars,Its a go to when i need a ride to anywhere with my family and friends. No headache of having to pay monthly rental and parking. Also its great that i get to try different car model. Overall very happy with getgo.,a month ago
3 stars,The cars are available at the carpark nearest to my block. Very convenient. It has been increased to 3 so it is easier to book a car. The interior condition of car is average,a month ago
5 stars,Use it multiple times as a way of transport. definitely an affordable way of travelling compared to taking cab if you are going many locations. …,a month ago
5 stars,"It good to have a new car in our carpark,from 1 car to 3 cars now,only the latest car which was in blk 521A pasir ris,had an issued,the car cant lock alway show error and cant locked,it was few times caused to me and my Son during our …",2 months ago
5 stars,GetGo car sharing is an absolute game-changer! Their diverse fleet caters to every need,2 months ago
5 stars,GetGo has provided me with ultimate transport convenience if there are days which I feel like renting a car to get around. The app is easy to use and very straightforward. Live Chat services are very prompt and helpful too.,2 months ago
5 stars,So far so good for me with Getgo car rental,a month ago
4 stars,Almost fuss free car sharing with many car models to choose from. The biggest downsides I faced are the processes to use the phone app to unlock/lock the car door (need to restart app frequently) and take photos before and after the trip which are very challenging on raining days,a month ago
5 stars,"Good :
1)Very simple to use apps to get the car for usage.
2) Variety of vehicles to choose from. 3)Constantly gets discount code from …",2 months ago
5 stars,Signing up as a new user was a breeze. Singpass login and all the details are transferred. 👍 super convenient. …,a year ago
4 stars,Easy to use app. Reasonable off-peak rental rates. However,2 months ago
5 stars,Have been using Getgo regularly,a month ago
5 stars,Provides me & family with great convenience,2 months ago
4 stars,GetGo Carsharing provides me another way of easing my transportation need.  It is really convenience as the GetGo car is just station in my nearby carpark.  Over the last 3 years of carsharing,a month ago
5 stars,"GetGo is simply amazing. I am able to save some money and as well as enjoying driving.
The Live chatbot is excellent in responding to our queries.
GetGo ""Way to Go""",a month ago
4 stars,Overall satisfied. Vehicles are well maintained and clean. The booking apps is user friendly,a month ago
5 stars,Very convenient and easy to book vehicle based on my timing and the car selection are pretty good. Their recent review on prices on certain hours are good! Keep it up and give more to the users!,2 months ago
4 stars,I have been using Getgo for a few years now and am overall happy with the use of platform. …,a month ago
5 stars,Very good and ideal carsharing solution for me and my family! Love the ease of use of the App as well as the reasonable pricing for renting the cars for my family's needs. Thank you for providing this service!,a month ago
1 star,I am a first-time getgo user and this is a nasty journey I  experienced with getgo's car and service. …,a year ago
4 stars,Very convenient to collect the car as it is located every where. The system was very humanly designed,2 months ago
5 stars,I have been a loyal user of Getgo for nearly two years now,2 months ago
4 stars,One of the most accessible carsharing service with a good range of vehicles. I also like the fact that there is a 15-minutes grace before and after the booking timing. …,a month ago
3 stars,GetGo is one of the best car sharing platform but unfortunately their vehicles are not really properly taken care of. I have encountered some vehicles have strong cigarettes smell as drivers have been smoking in the car. …,2 months ago
1 star,App is unstable,2 months ago
5 stars,I had good experience using getgo. There are many cars near me and i can easily book one when required. …,a month ago
5 stars,I have been using GetGo coming to 2 years since last year June. So far it is the best choice as it has cars at all around the singapore HDB carpark. Hence it is convenient to rent though the car return is at same place you pickup the car. …,a month ago
5 stars,Getgo is a prominent and exclusive car sharing app for Singaporeans. Price are affordable and lots of car choices to select from for personal usage. Hope more better enhanced future improvements are made prior to 2024. …,a month ago
3 stars,"The better of available car sharing services in sg ever since Smoove died.

App is easy enough to use",2 months ago
5 stars,"Great convenience as a quick option.

Generally cars are well maintained and clean. …",a month ago
5 stars,getgo is definitely my go to whenever i needed a car to run some errands! Fast and easy to use. Great and very prompt customer service via the online chat as well whenever i encountered problems. Highly recommended to everyone to give it a try :),2 months ago
4 stars,Great option to drive around to places inaccessible by public transport as it can work out cheaper than taxi. Downside is they don’t have point A to B service option and have to return car to original location only. However customer service and support is very good,a month ago
5 stars,Very easy and affordable way to rent a car. Hassle free service and simple manual. Availability of cars is also great around the area. I use this very often!,a month ago
5 stars,Very convenient for the random times when you need a car,2 months ago
5 stars,"Fantastic Carsharing Experience with GetGo!

Rating",a month ago
4 stars,i give GetGo a 4 star rating compared with other car sharing apps. It is a breeze to rent a car and cars are in generally better condition.    Its not perfect as the costs incurred in an accident are not entirely transparent and gives the impression that prices are bloated. Other than that,a month ago
5 stars,Great car sharing experience with seamless hassle and quick customer service. Esp the checking and uploading of pictures before unlocking the car,a month ago
5 stars,I use the service from the beginning. I like the service I like the cars,a month ago
4 stars,I like that the overall booking and driving experience is smooth. The app now work flawlessly and lock and unlocks the car smoothly. Not like before. But the interior of the car still not up to what I expect.,a month ago
5 stars,Convenience at its best. Most of the time I need to get to many difference locations at a short span of time and renting from Getgo can save me time as well as costs as compared to private hire. I would also rent a car for a short meal spot with my friends. Cars are also in good conditions and clean as well.,a month ago
4 stars,It is really convenient,2 months ago
5 stars,Renting a car has been very easy and fuss-free. Condition of cars are also pretty decent.,a month ago
4 stars,Easy to use and drive. One area of concern was when I could not connect to the cars rented from 121d Canberra street. Those cars are new from Opel and somehow their Bluetooth connecting system could not be used even when out in the open. …,2 months ago
5 stars,Get go is my go to car rental for short term renting. Prices are reasonable. Cars are very well maintained and customer support are really helpful. The ease of unlocking the car is also a plus point. Get go is the no.1 car sharing / renting platform in Singapore.,2 months ago
5 stars,Getgo has been my go to for car rental cos its very convenient and easy to rent and book a car. The cars in general are also in pretty good conditions too! Would totally recommend it to anyone who wants to use it!,2 months ago
4 stars,I like the wide selection of locations and variety of cars choice that near my place. And the timing are subject to change instantly. For example,2 months ago
4 stars,"Great to be able to experience different type and model of cars using GG.
Have been using almost on a weekly basis.
Would love to give 5 stars if discount can be pegged to frequent user.",a month ago
4 stars,Thank you Getgo for providing registered driving license users with decent car fleets available! I like how conveniently when I can book a car that is available in my home designated area even though it is literally a walking distance to …,2 months ago
3 stars,"The best thing about getgo is the convenience.

The cost may not be the cheapest and their cars aren't always clean. I have seen …",2 months ago
4 stars,Generally,a month ago
5 stars,Getgo has been reliable for me to book cars for my errands and to send people home. When I left a review that the dashboard screen was not working,2 months ago
5 stars,This carsharing platform is very convenient and easy to use. The fleets of cars available are relatively new and clean. The rates are slightly higher now before per booking 0.80 Cent Charged GetGo!,2 months ago
5 stars,Very convenient and easy to use app. Clean and user friendly interface. They have a variety of cool cars around to look out for. Definitely,2 months ago
3 stars,App always hang then subsequently force's close. At times Bluetooth connection takes too long to connect then force's close too. Should implement notification to current user when somebody else made a booking for that car later,a month ago
5 stars,Have been pleased with using GetGo for my driving needs/wants ever since I signed up for an account earlier this January. So far what I like about GetGo is the extensive selection of cars,2 months ago
5 stars,Easy to book and conveniently located. Feedback about the cars were also handled swiftly.,a month ago
5 stars,Very easy to book,a month ago
5 stars,I’ve tried counting the number of times I’ve used GetGo over the past 2 years,a month ago
5 stars,Its easy to book available cars through the app. One plus point that i personally like is that its easy to extend in blocks of 15mins as long as theres no bookings for the car which we can also be seen easily. This makes planning for car usage easier.,a month ago
5 stars,GetGo had been one of the best car sharing services by far. Hassle-free and straightforward booking. Customer service is really fast. Kudos.,a month ago
4 stars,I would like to propose a modification to the Getgo booking system. It would be beneficial to have the option to book vehicles in blocks of 15 minutes instead of the current minimum of 1 hour. This change is particularly useful for short …,2 months ago
5 stars,The best car sharing experience I've had thus far. Amongst all others,a month ago
3 stars,Conveniently located cars and app is easy to use and book. Maintenance of cars can be an issue sometimes as I have encountered car with a faulty gear box. Overall still okay but with negative news of payment if we damage the car is quite scary.,2 months ago
4 stars,So far the experience with getgo is good. This platform has provide conveniency for whoever that don’t own a car but need a car to travel to other places when needed. However the app sometimes will go haywire by not able to unlock the car …,2 months ago
5 stars,Owning a car is so costly nowadays. I'm glad to have GetGo service aeound me whenever I am in need of a car to run an errand. Depending on what you are going to do,2 months ago
4 stars,"I have been using them since early 2022 and so far other than the recent promo code issue I encountered,so far the driving experience has been pleasant and smooth. Love the freedom and convenience but hopefully the process of taking over the car can be less hassle. But nonetheless",2 months ago
5 stars,Hi. I’ve been using GetGo Carsharing since October 2023. It has been wonderful experiences for myself & my family due to the easiness to book the cars flawlessly within my area. The chats were fast & efficient too!!! Thank you!!!🙏😀 …,2 months ago
5 stars,First time drive getgo vehicles,a month ago
5 stars,Have been using GetGo for more than a year.  Has mainly been great experiences.  Easy to book + Easy to extend hours if needed + mainly clean cars + many options available around my home.   Was previously a long time user of car-sharing …,2 months ago
4 stars,GetGo is a very practical alternative to having your own car. I use them almost daily for school runs and during rainy days when finding a grab is next to impossible. Their rates are competitive and can help you save,3 weeks ago
5 stars,I'm glad to say that I'm using Get Go pretty often. It's simply user-friendly and cost-effective. All we want is a hassle-free car-sharing service,2 months ago
5 stars,GetGo is such a useful platform. Their fleets are constantly being updated and they are always around SOMEWHERE. I can always find one nearby my house if I really need it to send/fetch my children to school in a heavy downpour or for a last minute errand. Really thankful for it!,a month ago
5 stars,Getgo had giving me very convenient when driving around if I needed to rent a car and bring family out. When there is some problem with the vehicle they managed to act fast to ask the team to check the vehicle and customer service very …,2 months ago
4 stars,Very convenient to rent a car especially with  many nearby locations but conditions of the cars are very questionable. Some cars looking good on the exterior but quite bad on the interior like conditions of the aircon,2 months ago
5 stars,There's a day I left my items inside the car and I did the live chat with officer and within 5 mins I have retrieve my items. The customer service officers are have active and friendly.,a month ago
4 stars,A smooth drive. Nothings beats the convenience of driving a car with a full tank. The app works well too. Thank you.,a month ago
5 stars,A car sharing platform with flexible timings for booking. No deposit required. Cars are available on most parts of the neighbouhood area. Good for those families w kids to move around. A wiser choice than buying a car,2 months ago
4 stars,GetGo indeed has been a convenience for us no matter it’s sunny or rainy. Just a little bit of hiccup from sometimes when we’re trying to lock/unlock the car. Overall it’s been a pleasant experience :),2 months ago
5 stars,GetGo is a convenient service as it has couple of vehicles just right in my carpark. Their customer service support is very responsive. Do practice safe driving on the roads. Recommended to try this car sharing platform.,2 months ago
4 stars,Always almost the only option if still can't quality for other options for any last minute short term car renting but the conditions of the cars are relatively in good condition and clean.,a month ago
